Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
163,0.0092322,1092,964,1055,1081,45.9,53.2,46,44.7,105,116,122,123,34,15,15,18
164,0.015352,1020,1137,1031,1113,42.8,45.1,46.2,45.7,103,114,118,122,34,17,23,19
165,0.014222,1001,1128,1054,1072,37.6,44.6,50.7,53.1,97,111,119,120,28,17,21,17
166,0.014932,1002,1059,1077,1065,45.6,43.4,65.8,51.1,97,109,115,120,37,15,17,17
167,0.012137,994,1090,1069,1136,48.5,51.5,63.7,43.3,106,110,112,115,36,13,17,17
168,0.012713,999,1137,1086,1213,43.3,71.3,51.8,38.2,98,120,115,113,38,25,19,31
169,0.010656,1208,1042,1020,1067,50.4,28.1,57.8,56.3,89,108,112,120,46,25,19,17
170,0.0086303,1141,1050,1080,1051,43.3,44.8,39.4,73.4,87,102,97,120,41,19,15,15
171,0.0089643,1118,1082,1082,1065,28.4,51.9,38.1,73.1,90,100,97,106,38,9,19,17
172,0.0084985,1074,1055,1064,1097,39.2,47.4,46.4,65.6,91,105,105,106,25,28,18,19
173,0.014378,1033,1075,1059,1103,46.1,46.6,41.8,53.9,95,109,104,100,28,18,14,16
174,0.019126,997,1121,1071,1110,43.6,48.7,38.7,52.1,92,105,103,104,25,22,27,17
175,0.015507,1036,1039,1092,1073,26.3,51.6,50.5,68.1,93,113,116,115,27,19,17,15
176,0.014099,1061,967,1061,1053,34.9,57.9,55.5,62.3,96,113,121,108,34,21,17,21
177,0.010998,1053,981,1033,1049,43.2,66.6,50.1,48.1,103,117,127,121,36,17,21,19
178,0.014662,1010,1125,1017,1066,41.9,50.1,44.1,51,106,112,125,125,40,11,17,17
179,0.015992,1015,1110,1036,1023,35.9,43.3,46.6,62.6,107,109,126,121,34,19,23,19
180,0.01259,1009,1028,1052,1011,44.3,42.2,64.4,54.1,104,118,117,113,45,21,19,16
181,0.011562,989,1067,1065,1072,50.7,42.7,68.5,46.7,103,120,119,112,34,15,21,18
182,0.010418,977,1110,1096,1134,50.4,53.5,60.1,46.2,105,118,125,118,34,24,28,27
183,0.010677,1166,1146,1107,987,44.1,52,59.1,40.2,89,108,112,120,42,14,18,12
184,0.00624,1150,1033,1044,1037,37,36.8,51.5,55.1,87,102,97,120,33,9,14,14
185,0.0069594,1125,959,1052,1051,25.1,32.3,43.5,55.1,90,100,97,106,28,18,14,18
186,0.0097574,1097,973,1052,990,37.3,40.8,37.7,50.1,91,105,105,106,20,11,9,14
187,0.026934,1054,1033,1016,988,41.9,44.5,44.2,51.5,95,109,104,100,28,18,12,14
188,0.030209,1014,1080,996,1051,38.4,44.6,49.5,54.8,92,105,103,104,26,20,14,16
189,0.028236,1059,1084,999,1134,23.8,47.8,45.7,69.7,93,113,116,115,28,11,14,16
190,0.026058,1070,1064,960,1103,25.9,54,46.9,68.7,96,113,121,108,43,16,19,16
191,0.01441,1037,1071,944,1086,33.5,61.2,51.5,54.2,103,117,127,121,51,11,21,14
192,0.0067346,970,1092,1065,1071,40.4,48.1,48,49.5,106,112,125,125,55,16,13,17
193,0.0096121,999,1071,1080,1018,36.6,36.4,41.9,52.1,107,109,126,121,47,23,17,19
194,0.010791,1063,1029,1001,956,35.3,43.9,40,29.7,104,118,117,113,35,27,17,23
195,0.010161,1064,1066,1040,1014,40.5,36.9,46,38.5,103,120,119,112,29,19,22,24
196,0.015095,1040,1088,1125,1073,45.4,27.8,52.1,53.5,105,118,125,118,21,25,24,21
197,0.012544,1079,1099,1184,1022,45.8,60.8,52.5,47.1,88,107,107,115,32,14,19,10
198,0.00528,1151,1075,1054,1047,33.7,45.9,53.6,41.8,86,97,102,109,32,15,22,15
199,0.011716,1147,984,1031,1085,23.5,40,51.8,42.3,101,103,100,117,35,15,17,14
200,0.014882,1121,961,1034,1013,33.2,46.7,37.6,42.7,105,115,112,114,28,12,14,14
201,0.020962,1075,1025,1011,979,38.3,48.1,41.6,47.7,93,120,111,105,33,18,8,12
202,0.036431,1040,1075,1009,1014,37.4,45.9,51.6,50.7,99,112,107,112,37,15,16,12
203,0.042768,1079,1100,1032,1119,26.7,48.6,50.5,55.2,106,113,115,120,35,17,19,17
204,0.025891,1107,1101,994,1108,25,52.1,43.1,57.3,107,114,128,117,47,12,13,10
205,0.016418,1078,1108,960,1096,28.8,52.6,43.7,51.7,103,117,131,124,47,12,17,15
